"listing_id","total sum"
19293222,5.99512E+6
25294964,5.99512E+6
19316721,5.99512E+6
11075529,5.99512E+6
22326289,5.99512E+6
19813532,5.99512E+6
19849615,5.99512E+6
786506,5.99512E+6
786492,5.99512E+6
785901,5.99512E+6
23044533,6.12835E+6
69553,6.12835E+6
24971385,6.12835E+6
69549,6.12835E+6
14153586,6.12835E+6
18026458,6.26158E+6
21028485,6.26158E+6
25775179,6.26158E+6
20967010,6.26158E+6
1125115,6.26158E+6
1351783,6.26158E+6
25319031,6.26158E+6
2344123,6.3948E+6
22866255,6.3948E+6
13234007,6.52802E+6
77932,6.52802E+6
17622881,6.52802E+6
6120540,6.52802E+6
23883511,6.52802E+6
24117638,6.52802E+6
631735,6.52802E+6
21555212,6.66125E+6
782126,6.66125E+6
24224031,6.66125E+6
6872214,6.66125E+6
14476185,6.66125E+6
16392353,6.66125E+6
9150562,6.66125E+6
14551164,6.66125E+6
14596029,6.66125E+6
18125983,6.66125E+6
20368086,6.66125E+6
17731097,6.66125E+6
20367880,6.66125E+6
22817022,6.66125E+6
1841331,6.66125E+6
21730409,6.66125E+6
24246180,6.66125E+6
6526344,6.66125E+6
22310307,6.66125E+6
24471037,6.66125E+6
17344333,6.66125E+6
12511163,6.66125E+6
1247160,6.66125E+6
15144208,6.66125E+6
25661111,6.66125E+6
22468462,6.66125E+6
21026964,6.66125E+6
24474059,6.66125E+6
21022946,6.66125E+6
21026891,6.66125E+6
24595688,6.66125E+6
24474830,6.66125E+6
25398677,6.66125E+6
7093018,6.66125E+6
21191232,6.66125E+6
24659161,6.66125E+6
21591469,6.66125E+6
904245,6.66125E+6
1351626,6.66125E+6
24474631,6.66125E+6
16312844,6.66125E+6
21253864,6.9277E+6
22989582,6.9277E+6
14451638,6.9277E+6
17478285,6.9277E+6
1785463,7.06092E+6
3257979,7.06092E+6
14844247,7.06092E+6
4295573,7.06092E+6
997382,7.06092E+6
26394348,7.19415E+6
25787338,7.19415E+6
20614522,7.19415E+6
22557170,7.19415E+6
323635,7.32738E+6
1125079,7.32738E+6
23171836,7.32738E+6
8763407,7.32738E+6
14611058,7.32738E+6
